iter	Passed	Remaining
0	6	605
1	8	410
2	10	334
3	12	305
4	16	312
5	20	316
6	24	326
7	27	312
8	31	318
9	34	314
10	38	308
11	40	294
12	42	281
13	44	272
14	48	277
15	53	279
16	55	269
17	57	261
18	61	260
19	68	273
20	72	272
21	76	270
22	81	272
23	84	267
24	87	262
25	93	267
26	97	264
27	100	258
28	103	252
29	107	251
30	111	248
31	117	249
32	120	244
33	124	240
34	126	235
35	129	229
36	131	223
37	132	216
38	134	210
39	136	205
40	141	203
41	144	199
42	146	194
43	149	189
44	155	189
45	160	188
46	163	183
47	166	180
48	170	177
49	174	174
50	175	168
51	177	163
52	179	158
53	181	154
54	184	151
55	188	148
56	190	144
57	193	140
58	204	141
59	207	138
60	210	134
61	214	131
62	218	128
63	220	123
64	222	119
65	224	115
66	230	113
67	233	109
68	236	106
69	238	102
70	243	99
71	248	96
72	255	94
73	259	91
74	262	87
75	264	83
76	268	80
77	273	77
78	279	74
79	283	70
80	288	67
81	292	64
82	294	60
83	296	56
84	298	52
85	303	49
86	309	46
87	313	42
88	316	39
89	321	35
90	324	32
91	326	28
92	328	24
93	331	21
94	336	17
95	341	14
96	344	10
97	348	7
98	352	3
99	355	0
